City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Coruripe,BR,2022-05-25 20:15:29,-10.1256,-36.1756,76.75,85,100,15.21
153,East London,ZA,2022-05-25 20:17:26,-33.0153,27.9116,63.95,74,3,14.67
154,Bayir,TR,2022-05-25 20:17:26,37.2687,28.2167,63.12,57,0,1.07
155,Lorengau,PG,2022-05-25 20:16:29,-2.0226,147.2712,79.3,81,100,1.5
156,San Andres,CO,2022-05-25 20:17:27,12.5847,-81.7006,82.42,83,75,9.22
157,Pevek,RU,2022-05-25 20:17:27,69.7008,170.3133,33.26,91,24,8.5
158,Kahului,US,2022-05-25 20:17:27,20.8947,-156.47,78.82,71,40,14.97
159,Bredasdorp,ZA,2022-05-25 20:17:27,-34.5322,20.0403,59.76,90,93,4.07
160,Azanka,RU,2022-05-25 20:17:28,58.0401,64.7893,61.59,80,98,6.69
161,Liusha,CN,2022-05-25 20:17:28,27.2098,108.59,66.9,99,100,3.33
162,Zhezkazgan,KZ,2022-05-25 20:17:28,47.8043,67.7144,73.08,27,0,9.98
163,George Town,MY,2022-05-25 20:14:47,5.4112,100.3354,80.53,83,20,0.0
164,Kununurra,AU,2022-05-25 20:17:28,-15.7667,128.7333,64.38,88,79,0.0
165,Broken Hill,AU,2022-05-25 20:17:29,-31.95,141.4333,57.69,74,91,4.29
166,Buraydah,SA,2022-05-25 20:17:29,26.326,43.975,88.25,15,25,13.78
167,Mitchell,US,2022-05-25 20:12:43,43.7094,-98.0298,57.11,72,100,12.66
168,Black River,JM,2022-05-25 20:17:29,18.0264,-77.8487,87.78,57,65,22.46
169,Taoudenni,ML,2022-05-25 20:15:53,22.6783,-3.9836,99.63,8,100,3.53
170,Esperance,AU,2022-05-25 20:17:30,-33.8667,121.9,57.79,82,100,7.2
171,Kavieng,PG,2022-05-25 20:17:30,-2.5744,150.7967,80.42,77,100,7.4
172,Tikapur,NP,2022-05-25 20:17:30,28.5,81.1333,78.06,42,0,4.99
173,Daru,PG,2022-05-25 20:17:30,-9.0763,143.2092,78.66,83,98,10.13
174,Price,US,2022-05-25 20:17:31,39.5994,-110.8107,75.11,14,0,3.44
175,Deyang,CN,2022-05-25 20:17:31,31.1302,104.382,69.6,84,100,0.96
176,Havelock,US,2022-05-25 20:13:18,34.8791,-76.9013,73.38,59,19,5.41
177,Bluff,NZ,2022-05-25 20:17:31,-46.6,168.3333,40.8,69,78,5.61
178,Tucupita,VE,2022-05-25 20:17:31,9.0622,-62.051,84.04,70,41,7.87
179,Aykhal,RU,2022-05-25 20:17:32,66.0,111.5,32.9,88,100,12.68
180,Hami,CN,2022-05-25 20:17:32,42.8,93.45,79.9,12,100,9.22
181,Airai,TL,2022-05-25 20:17:13,-8.9266,125.4092,58.64,94,100,2.55
182,Mar Del Plata,AR,2022-05-25 20:17:32,-38.0023,-57.5575,55.09,66,40,12.66
183,Teknaf,BD,2022-05-25 20:17:33,20.8624,92.3058,79.88,86,12,0.58
184,Sisimiut,GL,2022-05-25 20:17:33,66.9395,-53.6735,39.04,59,99,9.22
185,Ville-Marie,CA,2022-05-25 20:17:33,47.3335,-79.433,69.62,34,100,3.98
186,Paamiut,GL,2022-05-25 20:17:33,61.994,-49.6678,30.83,55,18,3.49
187,Beloha,MG,2022-05-25 20:18:34,-25.1667,45.05,67.77,90,0,2.93
188,Severo-Kurilsk,RU,2022-05-25 20:18:34,50.6789,156.125,39.97,96,100,8.37
189,Westport,US,2022-05-25 20:17:16,41.1415,-73.3579,75.43,59,0,10.36
190,Pochutla,MX,2022-05-25 20:18:34,15.7432,-96.4661,86.83,60,100,5.28
191,Lakes Entrance,AU,2022-05-25 20:18:35,-37.8811,147.981,51.31,68,100,3.96
192,Lufilufi,WS,2022-05-25 20:18:35,-13.8745,-171.5986,83.98,77,87,16.75
193,Vanimo,PG,2022-05-25 20:18:35,-2.6741,141.3028,78.26,83,100,0.56
194,Vestmanna,FO,2022-05-25 20:18:35,62.1564,-7.1664,45.52,81,75,12.66
195,Aripuana,BR,2022-05-25 20:18:36,-9.1667,-60.6333,82.85,61,100,1.23
196,Pointe Michel,DM,2022-05-25 20:18:36,15.25,-61.3833,88.74,58,20,3.44
197,Saskylakh,RU,2022-05-25 20:18:36,71.9167,114.0833,13.75,98,77,2.89
198,Uige,AO,2022-05-25 20:18:37,-7.6087,15.0613,69.33,76,55,0.6
199,Forlimpopoli,IT,2022-05-25 20:18:37,44.1911,12.1287,72.36,81,0,1.99
200,Asau,RO,2022-05-25 20:18:37,46.4333,26.4,63.52,90,23,4.99
201,Ostrovnoy,RU,2022-05-25 20:14:49,68.0531,39.5131,33.42,94,8,3.47
202,Upernavik,GL,2022-05-25 20:18:37,72.7868,-56.1549,25.12,62,78,9.04
203,Dezful,IR,2022-05-25 20:18:38,32.3811,48.4058,85.17,17,0,10.71
204,Baherden,TM,2022-05-25 20:18:38,38.4362,57.4316,76.03,38,39,14.45
205,Mojo,ET,2022-05-25 20:18:38,8.6,39.1167,70.11,35,32,1.59
206,Abu Dhabi,AE,2022-05-25 20:16:37,24.4667,54.3667,86.11,61,0,8.05
207,Kaeo,NZ,2022-05-25 20:18:39,-35.1,173.7833,51.33,94,100,4.25
208,Sibolga,ID,2022-05-25 20:18:39,1.7427,98.7792,76.59,84,100,3.38
209,Kirakira,SB,2022-05-25 20:18:39,-10.4544,161.9205,79.2,84,12,5.66
210,Alindao,CF,2022-05-25 20:18:39,5.0267,21.2088,70.93,93,78,2.51
211,Sampit,ID,2022-05-25 20:18:40,-2.5333,112.95,74.48,98,100,3.85
212,Richards Bay,ZA,2022-05-25 20:18:40,-28.783,32.0377,65.3,81,0,4.99
213,Atar,MR,2022-05-25 20:18:40,20.5169,-13.0499,99.81,8,98,11.9
214,Opuwo,Namibia,2022-05-25 20:18:40,-18.0607,13.84,61.52,28,0,7.81
215,Victoria,HK,2022-05-25 20:15:01,22.2855,114.1577,79.32,93,47,5.99
216,Meulaboh,ID,2022-05-25 20:18:41,4.1363,96.1285,77.18,86,89,4.03
217,Erdenet,MN,2022-05-25 20:18:41,49.0333,104.0833,53.11,38,77,4.68
218,Faanui,PF,2022-05-25 20:18:41,-16.4833,-151.75,80.6,66,6,13.73
219,Matara,LK,2022-05-25 20:18:41,5.9485,80.5353,78.1,90,100,7.63
220,Chokwe,MZ,2022-05-25 20:18:42,-24.5333,32.9833,68.07,70,0,5.01
221,Panguna,PG,2022-05-25 20:18:42,-6.3164,155.4848,67.17,92,66,1.74
222,Poum,NC,2022-05-25 20:18:42,-20.2333,164.0167,75.87,74,55,7.99
223,Bhadrachalam,IN,2022-05-25 20:18:43,17.6667,80.8833,83.73,49,59,0.92
224,Muskogee,US,2022-05-25 20:16:10,35.5834,-95.3336,70.97,74,100,10.36
225,Chiriqui Grande,PA,2022-05-25 20:18:43,8.95,-82.1167,82.56,82,93,4.85
226,Dezhou,CN,2022-05-25 20:18:43,37.4486,116.2925,60.17,38,47,8.88
227,Lewisporte,CA,2022-05-25 20:18:44,49.2499,-55.0482,62.31,29,66,3.44
228,Vawkavysk,BY,2022-05-25 20:18:44,53.1561,24.4513,51.78,95,100,15.5
229,Borgarnes,IS,2022-05-25 20:18:44,64.5383,-21.9206,48.25,91,100,7.23
230,Naze,JP,2022-05-25 20:19:44,28.3667,129.4833,67.12,91,100,7.81
231,Guapore,BR,2022-05-25 20:19:45,-28.8456,-51.8903,67.23,79,0,3.78
232,Kiunga,PG,2022-05-25 20:19:45,-6.1219,141.2906,71.56,99,88,1.86
233,Leningradskiy,RU,2022-05-25 20:17:45,69.3833,178.4167,45.93,67,100,5.99
234,Tiarei,PF,2022-05-25 20:19:46,-17.5333,-149.3333,82.42,74,20,12.24
235,Srednekolymsk,RU,2022-05-25 20:19:46,67.45,153.6833,42.84,70,43,17.83
236,Pokrovsk,UA,2022-05-25 20:19:46,48.282,37.1758,54.16,66,90,5.75
237,Sahuaripa,MX,2022-05-25 20:19:47,29.05,-109.2333,97.84,11,0,5.82
238,Aguascalientes,MX,2022-05-25 20:17:49,21.8833,-102.3,84.15,7,0,5.75
239,Bandarbeyla,SO,2022-05-25 20:19:47,9.4942,50.8122,80.47,85,50,17.49
240,Gazanjyk,TM,2022-05-25 20:19:47,39.2446,55.5154,70.34,45,0,8.77
241,Gaoual,GN,2022-05-25 20:19:47,11.75,-13.2,76.1,81,100,10.56
242,Palmetto,US,2022-05-25 20:19:48,27.5214,-82.5723,93.25,47,20,16.11
243,Boa Vista,BR,2022-05-25 20:18:48,2.8197,-60.6733,84.18,74,75,9.22
244,San Quintin,MX,2022-05-25 20:19:48,30.4833,-115.95,68.86,58,0,10.58
245,Teguldet,RU,2022-05-25 20:17:16,57.3064,88.1667,51.75,80,4,5.28
246,Cayenne,GF,2022-05-25 20:17:49,4.9333,-52.3333,86.04,22,20,12.66
247,Tiksi,RU,2022-05-25 20:17:50,71.6872,128.8694,21.13,92,100,7.72
248,Grindavik,IS,2022-05-25 20:19:48,63.8424,-22.4338,48.15,81,40,6.91
249,Adrar,MR,2022-05-25 20:19:49,20.5022,-10.0711,93.49,10,5,6.71
250,Loreto,MX,2022-05-25 20:19:49,22.2667,-101.9667,83.79,8,0,0.85
251,Inongo,CD,2022-05-25 20:17:27,-1.95,18.2667,71.26,88,54,1.59
252,Mandal,IN,2022-05-25 20:19:49,25.45,74.5667,89.17,27,4,12.84
253,Lompoc,US,2022-05-25 20:19:50,34.6391,-120.4579,78.53,58,0,12.66
254,Clemencia,CO,2022-05-25 20:19:50,10.5665,-75.325,88.97,77,100,7.23
255,Medicine Hat,CA,2022-05-25 20:17:51,50.0501,-110.6683,72.03,28,75,19.57
256,Vila,PT,2022-05-25 20:19:50,42.0304,-8.1588,56.7,63,15,5.03
257,Qixia,CN,2022-05-25 20:19:50,37.2975,120.8256,52.02,56,0,6.11
258,Agadez,NE,2022-05-25 20:19:51,19.75,10.25,92.59,9,100,10.11
259,Batemans Bay,AU,2022-05-25 20:19:51,-35.7167,150.1833,55.09,86,100,3.89
260,Bukachacha,RU,2022-05-25 20:19:51,52.9833,116.9167,50.14,42,10,2.57
261,Kruisfontein,ZA,2022-05-25 20:16:05,-34.0033,24.7314,59.18,81,4,14.72
262,Pyapon,MM,2022-05-25 20:19:51,16.2833,95.6833,78.66,91,59,5.82
263,Bathsheba,BB,2022-05-25 20:19:52,13.2167,-59.5167,84.81,70,20,17.27
264,Leh,IN,2022-05-25 20:19:52,34.1667,77.5833,49.48,51,88,3.15
265,Uvat,RU,2022-05-25 20:19:52,59.1433,68.8953,64.22,63,100,8.25
266,Aquiraz,BR,2022-05-25 20:19:53,-3.9014,-38.3911,82.49,83,90,6.31
267,Chumikan,RU,2022-05-25 20:19:53,54.7183,135.315,42.73,97,85,5.55
268,Bambous Virieux,MU,2022-05-25 20:19:53,-20.3428,57.7575,71.22,88,40,5.75
269,Bahia Blanca,AR,2022-05-25 20:19:53,-38.7196,-62.2724,51.22,35,0,6.6
270,Souillac,MU,2022-05-25 20:19:54,-20.5167,57.5167,70.18,88,40,5.75
271,Yelbarga,IN,2022-05-25 20:19:54,15.6333,76.0167,79.5,69,97,13.82
272,Ust-Tsilma,RU,2022-05-25 20:19:18,65.441,52.1498,49.84,92,100,9.42
273,Pareora,NZ,2022-05-25 20:19:54,-44.4871,171.2132,43.18,76,96,5.86
274,Entebbe,UG,2022-05-25 20:19:54,0.0644,32.4469,68.58,80,100,1.59
275,Sitka,US,2022-05-25 20:19:55,57.0531,-135.33,55.29,54,40,9.22
276,Juneau,US,2022-05-25 20:17:50,58.3019,-134.4197,53.6,82,40,13.8
277,Fairbanks,US,2022-05-25 20:16:36,64.8378,-147.7164,63.01,45,75,10.36
278,Abadiania,BR,2022-05-25 20:20:55,-16.2042,-48.7069,74.32,34,51,6.89
279,Tarata,BO,2022-05-25 20:20:55,-17.6167,-66.0167,72.82,24,100,3.22
280,Vasilyevskiy Mokh,RU,2022-05-25 20:19:18,57.0132,35.919,41.34,91,94,4.47
281,Marsa Matruh,EG,2022-05-25 20:20:56,31.3525,27.2453,69.96,68,0,4.0
282,Rota,ES,2022-05-25 20:20:56,36.6224,-6.3586,73.49,49,0,1.14
283,Fujin,CN,2022-05-25 20:20:56,47.26,132.0322,50.63,89,100,6.53
284,Hervey Bay,AU,2022-05-25 20:20:56,-25.2986,152.8535,63.01,96,90,3.0
285,Oranjestad,AW,2022-05-25 20:18:36,12.524,-70.027,85.95,70,20,25.32
286,Baykalsk,RU,2022-05-25 20:20:57,51.5058,104.1469,50.81,65,100,1.9
287,Wattegama,LK,2022-05-25 20:20:57,6.7989,81.4808,75.36,87,100,6.46
288,Waipawa,NZ,2022-05-25 20:20:57,-41.4122,175.5153,44.51,77,98,9.22
289,Cintalapa,MX,2022-05-25 20:20:58,16.6951,-93.7272,92.43,37,98,11.48
290,Bara,NG,2022-05-25 20:20:58,10.3744,10.7288,89.33,32,26,5.23
291,Moose Factory,CA,2022-05-25 20:20:58,51.2585,-80.6094,48.2,71,0,12.66
292,Bonthe,SL,2022-05-25 20:20:58,7.5264,-12.505,75.94,89,100,7.29
293,Mehamn,NO,2022-05-25 20:20:59,71.0357,27.8492,49.95,53,0,16.11
294,Sola,VU,2022-05-25 20:20:59,-13.8833,167.55,80.47,71,37,10.76
295,Thinadhoo,MV,2022-05-25 20:20:59,0.5333,72.9333,83.03,71,66,5.5
