City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
425,Sai Buri,TH,77.31,6.7013,101.6168,ร้าน​ เวดดิ้ง
426,Irbil,IQ,67.82,36.1926,44.0106,Erbil International Hotel
432,Abha,SA,71.42,18.2164,42.5053,Abha Hotel
435,Owosso,US,65.12,42.9978,-84.1766,Comstock Inn and Conference Center
436,Cockburn Town,TC,79.56,21.4612,-71.1419,Osprey Beach Hotel
439,Anage,BR,76.89,-14.6122,-41.1356,
443,San Cristobal,VE,78.98,7.7669,-72.225,Pirineos
446,Guilin,CN,73.51,25.2819,110.2864,Grand 0773 Hotel
449,Katsuura,JP,65.01,35.1333,140.3,Katsuura Hotel Mikazuki
450,Portland,US,72.99,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
451,Shelton,US,76.51,41.3165,-73.0932,Hilton Garden Inn Shelton
462,Wenling,CN,65.43,28.3669,121.36,Hanting Express Wenling Wanchang North Road
463,Chake Chake,TZ,78.03,-5.2459,39.7666,Hotel Archipelago
465,Chiredzi,ZW,66.97,-21.05,31.6667,Clevers Hotel Chiredzi
467,Zaysan,KZ,66.54,47.4667,84.8667,Ерлан үй
473,Estelle,US,73.38,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
474,Sayyan,YE,66.38,15.1718,44.3244,ملاطف ابوحورية
477,Olinda,BR,74.93,-8.0089,-34.8553,Flat Quatro Rodas Olinda
482,Praia,CV,73.94,14.9215,-23.5087,LT Aparthotel
485,Cinco Esquinas,CR,68.22,10.1037,-84.1678,Rainforest
487,Tura,IN,72.0,25.5198,90.2201,Hotel RIKMAN Continental
488,Tabou,CI,78.35,4.423,-7.3528,hotêl doufoulougou
490,Lagos,NG,77.23,6.5833,3.75,
495,Puerto Baquerizo Moreno,EC,79.79,-0.9,-89.6,Hotel los Algarrobos
497,Amapa,BR,77.86,1.0,-52.0,
502,Juegang,CN,68.92,32.3174,121.1855,Rudong Y Hotel
504,Vinh,VN,77.31,18.6667,105.6667,Vuong Hoan 2
506,Pioner,RU,65.64,55.3166,85.9508,Park-hotel Akvarium
515,Canton,CN,78.87,23.1167,113.25,Shangjiuwan Hotel
517,Ano Mera,GR,74.14,37.45,25.4,Hotel La Résidence Mykonos
523,Nara,JP,68.5,34.6851,135.8049,Guesthouse Nara Komachi
525,Mahanoro,MG,70.2,-19.9,48.8,BUNGALOW MAHAMANINA
528,Jiblah,YE,70.93,13.9216,44.1467,Tiger Tower Hotel
530,Ajaccio,FR,66.18,42.0,8.9167,Sole E Monte
532,Hirado,JP,67.39,33.3597,129.5531,Samson Hotel
537,Nabire,ID,75.87,-3.3667,135.4833,Hotel Nusantara I
540,Platanos,GR,73.56,37.6667,21.6167,Hotel Kronio
541,Abalak,RU,65.79,58.1286,68.5944,Туристический комплекс Абалак
542,Shelburne,CA,66.9,44.0787,-80.2041,The Retreat at the Farm
543,Mackay,AU,65.68,-21.15,149.2,International Lodge Motel
547,Khash,IR,79.9,28.2211,61.2158,خوابگاه آبجی محدثه
548,Guarapari,BR,75.88,-20.6667,-40.4975,Hotel Porto do Sol
553,Taltal,CL,65.23,-25.4,-70.4833,Residencial Karime
555,Nazilli,TR,74.5,37.9163,28.3223,Gül Palast
556,Pafos,CY,71.38,34.7667,32.4167,Elysium Hotel
558,Mto Wa Mbu,TZ,70.7,-3.35,35.85,Fanaka Safaris Campsite & Lodges
559,Komsomolskiy,UZ,68.72,40.4272,71.7189,Ikathouse
560,Serebryansk,KZ,66.97,49.6925,83.2892,"Gostinitsa ""Vodoley"""
563,Temeni,GR,76.71,38.2333,22.1167,Balcony to Waves
567,Morbegno,IT,68.68,46.1383,9.57,Le Cantine Del Vecchio Borgo
570,Pisco,PE,68.05,-13.7,-76.2167,Hotel San Isidro Oficial
571,Buala,SB,79.32,-8.145,159.5921,Maringe Lagoon Lodge
572,Pringsewu,ID,72.79,-5.3582,104.9744,Urban Style by Front One
573,Fukue,JP,68.27,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
581,Misratah,LY,74.59,32.3754,15.0925,Almasa Hotel
